T, <E>, <M>, Cv, chi
2, -1.74491, 0.910637, 0.730081, 0.399015
2.15, -1.60864, 0.833799, 1.14558, 1.92596
2.2, -1.54561, 0.782393, 1.405, 4.821
2.35, -1.28202, 0.375458, 1.60414, 27.851
2.05, -1.70665, 0.892715, 0.829472, 0.577571
2.1, -1.66196, 0.868654, 0.962211, 0.956834
2.25, -1.46568, 0.690448, 1.81943, 14.5133
2.3, -1.36841, 0.530771, 1.99523, 28.7375
2.025, -1.72614, 0.901816, 0.780565, 0.486519
2.175, -1.57898, 0.811853, 1.25471, 2.79348
2.225, -1.50871, 0.744778, 1.57595, 7.93832
2.375, -1.2446, 0.312933, 1.39225, 23.7349
2.075, -1.68521, 0.881215, 0.894285, 0.744688
2.125, -1.63699, 0.853197, 1.04506, 1.30391
2.275, -1.42005, 0.619677, 1.96667, 22.097
2.325, -1.32293, 0.446321, 1.83543, 30.3519
