T, <E>, <M>, Cv, chi
2.025, -1.72673, 0.902433, 0.776465, 0.472816
2.175, -1.5797, 0.813088, 1.2568, 2.79411
2.225, -1.50847, 0.743341, 1.62095, 9.939
2.375, -1.2359, 0.207162, 1.27055, 30.4017
2.125, -1.63688, 0.853513, 1.04393, 1.2878
2.075, -1.68501, 0.881348, 0.89453, 0.739648
2.325, -1.30971, 0.338955, 1.77598, 55.825
2, -1.74574, 0.910692, 0.73274, 0.410007
2.2, -1.54719, 0.781871, 1.39576, 4.88779
2.15, -1.60983, 0.833275, 1.15008, 1.99845
2.35, -1.28129, 0.289668, 1.53906, 46.1923
2.05, -1.71087, 0.894701, 0.871802, 0.584811
2.1, -1.66663, 0.87109, 1.01948, 0.962654
2.225, -1.5087, 0.744104, 1.61745, 9.66142
2.2625, -1.43948, 0.634577, 2.08011, 34.9431
2.275, -1.41325, 0.582282, 2.16082, 45.039
2.3125, -1.33314, 0.391987, 1.94757, 60.668
2.2375, -1.48685, 0.715239, 1.75915, 15.0788
2.25, -1.46358, 0.678521, 1.92905, 23.9994
2.2875, -1.38523, 0.518303, 2.18718, 56.1437
2.3, -1.35775, 0.451313, 2.10294, 61.7034
